Matrix,Rows,Columns,NNZ,NNZ/Rows,SPMV Function,Thread Count,Time
model2.mtx,379,1321,7607,20.0712,csr_serial_spmv,1,0.002882
model2.mtx,379,1321,7607,20.0712,csr_omp_spmv,2,0.00282788
model2.mtx,379,1321,7607,20.0712,csr_omp_spmv,4,0.00303006
model2.mtx,379,1321,7607,20.0712,csr_omp_spmv,6,0.00300193
model2.mtx,379,1321,7607,20.0712,csr_pth_spmv,2,0.00299406
model2.mtx,379,1321,7607,20.0712,csr_pth_spmv,4,0.00314903
model2.mtx,379,1321,7607,20.0712,csr_pth_spmv,6,0.00324512
dw8192.mtx,8192,8192,41746,5.09595,csr_serial_spmv,1,0.038132
dw8192.mtx,8192,8192,41746,5.09595,csr_omp_spmv,2,0.043278
dw8192.mtx,8192,8192,41746,5.09595,csr_omp_spmv,4,0.0561378
dw8192.mtx,8192,8192,41746,5.09595,csr_omp_spmv,6,0.0544159
dw8192.mtx,8192,8192,41746,5.09595,csr_pth_spmv,2,0.053437
dw8192.mtx,8192,8192,41746,5.09595,csr_pth_spmv,4,0.0532069
dw8192.mtx,8192,8192,41746,5.09595,csr_pth_spmv,6,0.0529211
west2021.mtx,2021,2021,7353,3.6383,csr_serial_spmv,1,0.00924492
west2021.mtx,2021,2021,7353,3.6383,csr_omp_spmv,2,0.00963092
west2021.mtx,2021,2021,7353,3.6383,csr_omp_spmv,4,0.010236
west2021.mtx,2021,2021,7353,3.6383,csr_omp_spmv,6,0.00931907
west2021.mtx,2021,2021,7353,3.6383,csr_pth_spmv,2,0.00959396
west2021.mtx,2021,2021,7353,3.6383,csr_pth_spmv,4,0.00964403
west2021.mtx,2021,2021,7353,3.6383,csr_pth_spmv,6,0.00954914
west0381.mtx,381,381,2157,5.66142,csr_serial_spmv,1,0.00277185
west0381.mtx,381,381,2157,5.66142,csr_omp_spmv,2,0.00284791
west0381.mtx,381,381,2157,5.66142,csr_omp_spmv,4,0.00222421
west0381.mtx,381,381,2157,5.66142,csr_omp_spmv,6,0.00190306
west0381.mtx,381,381,2157,5.66142,csr_pth_spmv,2,0.00176311
west0381.mtx,381,381,2157,5.66142,csr_pth_spmv,4,0.00201797
west0381.mtx,381,381,2157,5.66142,csr_pth_spmv,6,0.002038
steam1.mtx,240,240,3762,15.675,csr_serial_spmv,1,0.00119996
steam1.mtx,240,240,3762,15.675,csr_omp_spmv,2,0.00227714
steam1.mtx,240,240,3762,15.675,csr_omp_spmv,4,0.00354791
steam1.mtx,240,240,3762,15.675,csr_omp_spmv,6,0.00176907
steam1.mtx,240,240,3762,15.675,csr_pth_spmv,2,0.00181293
steam1.mtx,240,240,3762,15.675,csr_pth_spmv,4,0.00180602
steam1.mtx,240,240,3762,15.675,csr_pth_spmv,6,0.00187683
saylr3.mtx,1000,1000,2375,2.375,csr_serial_spmv,1,0.00703597
saylr3.mtx,1000,1000,2375,2.375,csr_omp_spmv,2,0.00673795
saylr3.mtx,1000,1000,2375,2.375,csr_omp_spmv,4,0.00950098
saylr3.mtx,1000,1000,2375,2.375,csr_omp_spmv,6,0.00711513
saylr3.mtx,1000,1000,2375,2.375,csr_pth_spmv,2,0.00709081
saylr3.mtx,1000,1000,2375,2.375,csr_pth_spmv,4,0.007092
saylr3.mtx,1000,1000,2375,2.375,csr_pth_spmv,6,0.00705695
bcsstk01.mtx,48,48,224,4.66667,csr_serial_spmv,1,0.000417948
bcsstk01.mtx,48,48,224,4.66667,csr_omp_spmv,2,0.000379086
bcsstk01.mtx,48,48,224,4.66667,csr_omp_spmv,4,0.000797033
bcsstk01.mtx,48,48,224,4.66667,csr_omp_spmv,6,0.000437975
bcsstk01.mtx,48,48,224,4.66667,csr_pth_spmv,2,0.000380039
bcsstk01.mtx,48,48,224,4.66667,csr_pth_spmv,4,0.000426054
bcsstk01.mtx,48,48,224,4.66667,csr_pth_spmv,6,0.000460863
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_serial_spmv,1,0.0237269
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_omp_spmv,2,0.023972
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_omp_spmv,4,0.0236039
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_omp_spmv,6,0.0184641
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_pth_spmv,2,0.0279911
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_pth_spmv,4,0.0234802
t2dal_bci.mtx,4257,4257,20861,4.9004,csr_pth_spmv,6,0.0255349
